Mtest4,false,1527501600658
sensor0_Temperature,26.48,1527501750192
sensor0_Humidity,43.37600140415982,1527501750193
sensor0_Brightness,67.0,1527501750194
sensor1_Temperature,24.25,1527501750195
sensor1_Humidity,44.36256044896643,1527501750196
sensor1_Brightness,53.0,1527501750197
seat5BOccupied,false,1527501752770
totalSeatCount,6,1527501752770
Mtest1,true,1527501752770
SoundWindow0,69.87611788307149,1527501753864
SoundWindow1,59.211192173722544,1527501753868
Mtest8,true,1527501756074
SoundCenter0,70.33500607464757,1527501756174
SoundCenter1,70.82377581563952,1527501756176
SoundCenter2,64.7910373386853,1527501756176
sensor0_Temperature,26.48,1527501756502
sensor0_Humidity,43.37600140415982,1527501756503
sensor0_Brightness,67.0,1527501756503
sensor1_Temperature,24.25,1527501756504
sensor1_Humidity,44.36256044896643,1527501756505
sensor1_Brightness,53.0,1527501756506
SoundWall0,68.22592702922678,1527501756922
SoundWall1,70.89842566774028,1527501756931
SoundWall2,68.22280900176433,1527501756942
SoundC,83.06906499721183,1527501759122
SoundC,83.06906499721183,1527501759122
Present,99,1527501759131
Present,99,1527501759131
Mtest6,false,1527501760346
sensor0_Temperature,26.48,1527501762793
sensor0_Humidity,43.37600140415982,1527501762793
sensor0_Brightness,67.0,1527501762794
sensor1_Temperature,24.25,1527501762794
sensor1_Humidity,44.36256044896643,1527501762795
sensor1_Brightness,53.0,1527501762795
SoundWindow0,70.53943714035545,1527501763864
SoundWindow1,60.08992234916095,1527501763869
SoundCenter0,70.94985600213303,1527501766174
SoundCenter1,72.8929867089732,1527501766176
SoundCenter2,66.23753850470803,1527501766177
SoundWall0,69.2768449016372,1527501766922
SoundWall1,71.63746880460532,1527501766931
SoundWall2,69.55214984623854,1527501766946
sensor0_Temperature,26.48,1527501769077
sensor0_Humidity,43.37600140415982,1527501769077
sensor0_Brightness,67.0,1527501769078
sensor1_Temperature,24.25,1527501769078
sensor1_Humidity,44.36256044896643,1527501769079
sensor1_Brightness,53.0,1527501769080
SoundC,75.59789851419828,1527501769135
SoundC,75.59789851419828,1527501769135
Present,129,1527501769138
Present,129,1527501769138
